
Definition: Akhanh
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :))
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)dferfrfr
Slangword: :)
Slangword: >.<
Slangword: :)
Slangword: >.<
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :VVVV
Slangword: :)
Slangword: :VVVV
Slangword: :VVVV
Slangword: :OOO
Slangword: >.<
Slangword: >.<
Slangword: >0<
Slangword: >0<
Slangword: >0<
Slangword: >0<
Slangword: >.<
Slangword: >0<
Slangword: >.<
Slangword: >.<
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: :)
Slangword: *O*
Slangword: *O*
Slangword: *O*
Slangword: *O*
